,PanID,species,curve_cluster,Pannot
0,PTHR10067:SF2,['DC10' 'DC60'],2,PHOSPHATIDYLSERINE DECARBOXYLASE PROENZYME 2
1,PTHR10091:SF8,['DC10' 'DC50'],2,
2,PTHR10333:SF75,['DC10' 'DC60'],6,
3,PTHR10416,['DC10' 'DC60'],2,DNA POLYMERASE DELTA SUBUNIT 2
4,PTHR10468:SF0,['DC10' 'DC70'],3,"ALPHA-1,3-MANNOSYL-GLYCOPROTEIN 2-BETA-N-ACETYLGLUCOSAMINYLTRANSFERASE"
5,PTHR10746:SF11,['DC10' 'DC50' 'DC70'],3,
6,PTHR11021:SF1,['DC10' 'DC60' 'DC70'],3,U6 SNRNA-ASSOCIATED SM-LIKE PROTEIN LSM6
7,PTHR11139,['DC10' 'DC50'],3,ATAXIA TELANGIECTASIA MUTATED  ATM -RELATED
8,PTHR11141:SF2,['DC10' 'DC30' 'DC70'],3,
9,PTHR11413:SF103,['DC10' 'DC50'],2,CYSTEINE PROTEINASE INHIBITOR 6
10,PTHR11434:SF5,['DC10' 'DC30'],4,
11,PTHR11441:SF2,['DC10' 'DC70'],3,
12,PTHR11548:SF2,['DC10' 'DC30' 'DC60'],2,THYMIDYLATE SYNTHASE
13,PTHR11599:SF6,['DC10' 'DC60'],2,PROTEASOME SUBUNIT BETA TYPE-2
14,PTHR11772:SF2,['DC10' 'DC40'],4,ASPARAGINE SYNTHETASE B [GLUTAMINE-HYDROLYZING]
15,PTHR11806:SF0,['DC10' 'DC60'],3,"PROTEIN MTO1 HOMOLOG, MITOCHONDRIAL"
16,PTHR11941:SF134,['DC10' 'DC60'],2,
17,PTHR12149,['DC10' 'DC50'],7,FAMILY NOT NAMED
18,PTHR12461:SF38,['DC10' 'DC60'],2,JMJC DOMAIN-CONTAINING PROTEIN 5
19,PTHR12737:SF9,['DC10' 'DC40'],4,
20,PTHR12829:SF4,['DC10' 'DC50'],2,METHYLTRANSFERASE-LIKE PROTEIN 4
21,PTHR12832:SF20,['DC10' 'DC50'],3,T-COMPLEX PROTEIN 11
22,PTHR13040,['DC10' 'DC50'],3,AUTOPHAGY PROTEIN 5
23,PTHR13257,['DC10' 'DC60'],3,NUCLEOPORIN NUP84-RELATED
24,PTHR13312:SF2,['DC10' 'DC70'],3,
25,PTHR13454:SF11,['DC10' 'DC60'],2,PROTEIN MCM10 HOMOLOG
26,PTHR13522:SF3,['DC10' 'DC40'],2,U6 SNRNA PHOSPHODIESTERASE
27,PTHR13598,['DC10' 'DC50'],4,UNCHARACTERIZED
28,PTHR13693:SF81,['DC10' 'DC40'],2,
29,PTHR14005,['DC10' 'DC30' 'DC50' 'DC70'],3,"EUKARYOTIC TRANSLATION INITIATION FACTOR 3, THETA SUBUNIT"
30,PTHR14110:SF10,['DC10' 'DC30'],4,
31,PTHR14189:SF0,['DC10' 'DC70'],3,PROTEIN PHOSPHATASE METHYLESTERASE 1
32,PTHR14344,['DC10' 'DC70'],3,WD REPEAT PROTEIN
33,PTHR14513,['DC10' 'DC60'],2,PROTECTION OF TELOMERES 1
34,PTHR14659,['DC10' 'DC70'],3,FAMILY NOT NAMED
35,PTHR15082:SF2,['DC10' 'DC30'],4,NADH DEHYDROGENASE [UBIQUINONE] 1 BETA SUBCOMPLEX SUBUNIT 3
36,PTHR15371:SF18,['DC10' 'DC40'],4,
37,PTHR15377,['DC10' 'DC30'],3,TRANSCRIPTION FACTOR CA150B RELATEDTCERG1
38,PTHR15496:SF2,['DC10' 'DC60'],3,GENERAL TRANSCRIPTION FACTOR 3C POLYPEPTIDE 4
39,PTHR15863:SF2,['DC10' 'DC60'],2,MRN COMPLEX-INTERACTING PROTEIN
40,PTHR18966:SF377,['DC10' 'DC60'],6,"GLUTAMATE RECEPTOR IONOTROPIC, NMDA 1"
41,PTHR19241:SF492,['DC10' 'DC40'],4,
42,PTHR19331:SF428,['DC10' 'DC40'],4,
43,PTHR19375:SF321,['DC10' 'DC50'],4,
44,PTHR19965,['DC10' 'DC60'],7,RNA AND EXPORT FACTOR BINDING PROTEIN
45,PTHR21255:SF4,['DC10' 'DC50'],3,DYNEIN LIGHT CHAIN TCTEX-TYPE
46,PTHR21297,['DC10' 'DC60'],3,DNA-DIRECTED RNA POLYMERASE II
47,PTHR22768:SF0,['DC10' 'DC60'],2,DNA REPLICATION COMPLEX GINS PROTEIN PSF3
48,PTHR22778:SF43,['DC10' 'DC50'],3,
49,PTHR22798,['DC10' 'DC60'],3,MCT-1 PROTEIN
50,PTHR22883:SF205,['DC10' 'DC60'],2,
51,PTHR23107:SF0,['DC10' 'DC40'],7,GRF1-INTERACTING FACTOR 2-RELATED
52,PTHR23198,['DC10' 'DC30'],3,NUCLEOPORIN
53,PTHR23416:SF54,['DC10' 'DC50'],3,
54,PTHR23525,['DC10' 'DC40'],2,FAMILY NOT NAMED
55,PTHR24055:SF354,['DC10' 'DC70'],4,
56,PTHR24305:SF169,['DC10' 'DC50'],3,
57,PTHR27000:SF258,['DC10' 'DC30' 'DC50' 'DC70'],3,
58,PTHR27004:SF21,['DC10' 'DC30'],2,LEUCINE-RICH REPEAT PROTEIN FLOR 1
59,PTHR28620,['DC10' 'DC60'],2,FAMILY NOT NAMED
60,PTHR31184:SF2,['DC10' 'DC70'],3,HUNTINGTIN-INTERACTING PROTEIN K
61,PTHR31251:SF21,['DC10' 'DC50'],6,
62,PTHR31251:SF27,['DC10' 'DC50'],3,
63,PTHR31315,['DC10' 'DC50'],6,FAMILY NOT NAMED
64,PTHR31559:SF0,['DC10' 'DC50'],6,PYRIDOXAL 5'-PHOSPHATE SYNTHASE SUBUNIT SNO1-RELATED
65,PTHR31686,['DC10' 'DC50'],2,FAMILY NOT NAMED
66,PTHR32285:SF67,['DC10' 'DC50'],2,
67,PTHR33021:SF156,['DC10' 'DC40'],2,
68,PTHR33149:SF13,['DC10' 'DC60'],2,
69,PTHR33187:SF11,['DC10' 'DC60'],2,ZGC:165536 PROTEIN
70,PTHR33602,['DC10' 'DC60'],6,FAMILY NOT NAMED
71,PTHR34116:SF2,['DC10' 'DC50'],4,PLASMINOGEN ACTIVATOR INHIBITOR
72,PTHR34370,['DC10' 'DC60'],7,FAMILY NOT NAMED
73,PTHR34565,['DC10' 'DC70'],4,FAMILY NOT NAMED
74,PTHR34679:SF2,['DC10' 'DC50'],6,
75,PTHR34684:SF1,['DC10' 'DC30'],4,
76,PTHR34958,['DC10' 'DC30' 'DC60'],2,FAMILY NOT NAMED
77,PTHR34971,['DC10' 'DC40'],2,FAMILY NOT NAMED
78,PTHR35698:SF1,['DC10' 'DC60'],2,
79,PTHR36028:SF1,['DC10' 'DC30'],4,
80,PTHR36080:SF1,['DC10' 'DC30'],4,DBJ|BAA96220.1
81,PTHR36535,['DC10' 'DC30'],4,FAMILY NOT NAMED
82,PTHR42724,['DC10' 'DC70'],3,FAMILY NOT NAMED
83,PTHR42724:SF1,['DC10' 'DC70'],3,"TETRAACYLDISACCHARIDE 4'-KINASE, MITOCHONDRIAL-RELATED"
84,PTHR42820,['DC10' 'DC50'],4,FAMILY NOT NAMED
85,PTHR42961:SF1,['DC10' 'DC70'],4,IRON-SULFUR PROTEIN NUBPL
86,PTHR43026,['DC10' 'DC60'],2,FAMILY NOT NAMED
87,PTHR43108:SF8,['DC10' 'DC40'],4,EXTRACELLULAR SULFATASE SULF-1 HOMOLOG
88,PTHR43178,['DC10' 'DC70'],3,FAMILY NOT NAMED
89,PTHR43272,['DC10' 'DC70'],4,FAMILY NOT NAMED
90,PTHR43340:SF1,['DC10' 'DC50' 'DC60'],7,HYPOXANTHINE PHOSPHORIBOSYLTRANSFERASE
91,PTHR43571,['DC10' 'DC50'],3,FAMILY NOT NAMED
92,PTHR43571:SF1,['DC10' 'DC50'],3,NADP-SPECIFIC GLUTAMATE DEHYDROGENASE 1-RELATED
93,PTHR43596:SF1,['DC10' 'DC40'],4,"ADP,ATP CARRIER PROTEIN"
94,PTHR43607:SF3,['DC10' 'DC70'],4,
95,PTHR43628:SF1,['DC10' 'DC40'],4,ACTIVATOR OF C KINASE PROTEIN 1-RELATED
96,PTHR43804:SF7,['DC10' 'DC40'],7,"PEPTIDE CHAIN RELEASE FACTOR 1, MITOCHONDRIAL-RELATED"
97,PTHR43829,['DC10' 'DC50'],2,FAMILY NOT NAMED
98,PTHR44394,['DC10' 'DC60'],2,FAMILY NOT NAMED
99,PTHR45098:SF1,['DC10' 'DC50'],3,
100,PTHR45658:SF20,['DC10' 'DC50'],3,
